,0
0,118.98927312596521
1,-82.09368987719611
2,-2948.492087670907
3,-8003334.343151116
4,-708804.3619313394
5,-2801545.2595490213
6,-3365.3479841350695
7,-1316.9284165597935
8,1333.3464062588564
9,4444094.8582238555
10,11415845.08075542
11,2958841.43621808
12,-2539.815751415899
13,-195.41754101033143
14,6977.028088856121
15,20767581.858841136
16,6685008.724272395
17,1583734.0003000037
18,-169.42174244662164
19,1515.3649017284886
20,-5211.983148737323
21,-18240110.297969777
22,1878581.100977996
23,-864477.2491348995
