,point_id,image_id,x,y,unique_id,knowns
0,24,1,2015.203,1566.904,241,u
119,BVS35,1,3097.023,1810.488,BVS351,n
29,132,1,2715.21,2024.794,1321,u
31,133,1,3188.106,1898.573,1331,u
74,BVS6,1,2978.762,695.651,BVS61,n
33,A32,1,1321.656,2824.13,A321,n
121,BVS36,1,2572.416,1795.63,BVS361,n
36,A33,1,1969.692,2307.454,A331,n
71,BVS5,1,3186.273,652.426,BVS51,n
39,A34,1,2251.548,2091.726,A341,n
78,AVS50,1,1978.023,245.165,AVS501,n
69,BS20,1,3430.106,2186.83,BS201,n
43,A35,1,2411.552,1971.152,A351,n
67,BS17,1,2715.21,2024.794,BS171,n
135,BVS43,1,3379.079,2288.663,BVS431,n
47,BS8,1,3334.18,1157.505,BS81,n
63,BS11,1,2536.54,1486.948,BS111,n
125,BVS37,1,2688.829,1927.812,BVS371,n
51,AS10,1,2055.442,266.933,AS101,n
131,BVS42,1,2598.86,2058.756,BVS421,n
55,AS12,1,1659.208,21.946,AS121,n
137,BVS44,1,2898.934,2249.107,BVS441,n
25,B9,1,3032.077,1328.755,B91,n
141,AVS105,1,1748.944,2965.45,AVS1051,n
88,AVS58,1,1999.769,581.903,AVS581,n
97,AVS69,1,2163.933,1063.192,AVS691,n
3,71,1,3139.419,2266.361,711,u
7,89,1,3602.55,1692.21,891,u
144,AVS106,1,1989.3,2705.549,AVS1061,n
151,AVS108,1,2272.517,2377.102,AVS1081,n
13,B1,1,2545.796,970.779,B11,n
111,BVS10,1,2770.643,932.379,BVS101,n
85,AVS57,1,1535.185,143.915,AVS571,n
129,BVS38,1,3637.298,2057.963,BVS381,n
21,B8,1,2590.09,1358.904,B81,n
115,BVS16,1,3518.845,1025.537,BVS161,n
17,B2,1,3005.461,890.515,B21,n
120,BVS35,5,3151.873,1944.858,BVS355,n
98,AVS69,5,1614.094,1046.039,AVS695,n
60,AS32,5,2126.524,2351.418,AS325,n
116,BVS16,5,3803.87,317.619,BVS165,n
126,BVS37,5,2809.663,1985.996,BVS375,n
104,AVS71,5,2183.119,1031.423,AVS715,n
95,AVS65,5,410.676,1063.152,AVS655,n
64,BS11,5,2718.113,1374.34,BS115,n
107,AVS75,5,422.477,1336.098,AVS755,n
